id,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary
225,Delibird,ice,flying,45,55,45,65,45,75,2,0
226,Mantine,water,flying,85,40,70,80,140,70,2,0
227,Skarmory,steel,flying,65,80,140,40,70,70,2,0
228,Houndour,dark,fire,45,60,30,80,50,65,2,0
229,Houndoom,dark,fire,75,90,90,140,90,115,2,0
230,Kingdra,water,dragon,75,95,95,95,95,85,2,0
231,Phanpy,ground,,90,60,60,40,40,40,2,0
232,Donphan,ground,,90,120,120,60,60,50,2,0
233,Porygon2,normal,,85,80,90,105,95,60,2,0
234,Stantler,normal,,73,95,62,85,65,85,2,0
235,Smeargle,normal,,55,20,35,20,45,75,2,0
236,Tyrogue,fighting,,35,35,35,35,35,35,2,0
237,Hitmontop,fighting,,50,95,95,35,110,70,2,0
238,Smoochum,ice,psychic,45,30,15,85,65,65,2,0
239,Elekid,electric,,45,63,37,65,55,95,2,0
240,Magby,fire,,45,75,37,70,55,83,2,0
241,Miltank,normal,,95,80,105,40,70,100,2,0
242,Blissey,normal,,255,10,10,75,135,55,2,0
243,Raikou,electric,,90,85,75,115,100,115,2,1
244,Entei,fire,,115,115,85,90,75,100,2,1
245,Suicune,water,,100,75,115,90,115,85,2,1
246,Larvitar,rock,ground,50,64,50,45,50,41,2,0
247,Pupitar,rock,ground,70,84,70,65,70,51,2,0
248,Tyranitar,rock,dark,100,164,150,95,120,71,2,0
249,Lugia,psychic,flying,106,90,130,90,154,110,2,1
250,Ho-Oh,fire,flying,106,130,90,110,154,90,2,1
251,Celebi,psychic,grass,100,100,100,100,100,100,2,1
252,Treecko,grass,,40,45,35,65,55,70,3,0
253,Grovyle,grass,,50,65,45,85,65,95,3,0
254,Sceptile,grass,,70,110,75,145,85,145,3,0
255,Torchic,fire,,45,60,40,70,50,45,3,0
256,Combusken,fire,fighting,60,85,60,85,60,55,3,0
257,Blaziken,fire,fighting,80,160,80,130,80,100,3,0
258,Mudkip,water,,50,70,50,50,50,40,3,0
259,Marshtomp,water,ground,70,85,70,60,70,50,3,0
260,Swampert,water,ground,100,150,110,95,110,70,3,0
261,Poochyena,dark,,35,55,35,30,30,35,3,0
262,Mightyena,dark,,70,90,70,60,60,70,3,0
263,Zigzagoon,normal,,38,30,41,30,41,60,3,0
264,Linoone,normal,,78,70,61,50,61,100,3,0
265,Wurmple,bug,,45,45,35,20,30,20,3,0
266,Silcoon,bug,,50,35,55,25,25,15,3,0
267,Beautifly,bug,flying,60,70,50,100,50,65,3,0
268,Cascoon,bug,,50,35,55,25,25,15,3,0
269,Dustox,bug,poison,60,50,70,50,90,65,3,0
270,Lotad,water,grass,40,30,30,40,50,30,3,0
271,Lombre,water,grass,60,50,50,60,70,50,3,0
272,Ludicolo,water,grass,80,70,70,90,100,70,3,0
273,Seedot,grass,,40,40,50,30,30,30,3,0
274,Nuzleaf,grass,dark,70,70,40,60,40,60,3,0
275,Shiftry,grass,dark,90,100,60,90,60,80,3,0
276,Taillow,normal,flying,40,55,30,30,30,85,3,0
277,Swellow,normal,flying,60,85,60,75,50,125,3,0
278,Wingull,water,flying,40,30,30,55,30,85,3,0
279,Pelipper,water,flying,60,50,100,95,70,65,3,0
280,Ralts,psychic,fairy,28,25,25,45,35,40,3,0
281,Kirlia,psychic,fairy,38,35,35,65,55,50,3,0
282,Gardevoir,psychic,fairy,68,85,65,165,135,100,3,0
283,Surskit,bug,water,40,30,32,50,52,65,3,0
284,Masquerain,bug,flying,70,60,62,100,82,80,3,0
285,Shroomish,grass,,60,40,60,40,60,35,3,0
286,Breloom,grass,fighting,60,130,80,60,60,70,3,0
287,Slakoth,normal,,60,60,60,35,35,30,3,0
288,Vigoroth,normal,,80,80,80,55,55,90,3,0
289,Slaking,normal,,150,160,100,95,65,100,3,0
290,Nincada,bug,ground,31,45,90,30,30,40,3,0
291,Ninjask,bug,flying,61,90,45,50,50,160,3,0
292,Shedinja,bug,ghost,1,90,45,30,30,40,3,0
293,Whismur,normal,,64,51,23,51,23,28,3,0
294,Loudred,normal,,84,71,43,71,43,48,3,0
295,Exploud,normal,,104,91,63,91,73,68,3,0
296,Makuhita,fighting,,72,60,30,20,30,25,3,0
297,Hariyama,fighting,,144,120,60,40,60,50,3,0
298,Azurill,normal,fairy,50,20,40,20,40,20,3,0
299,Nosepass,rock,,30,45,135,45,90,30,3,0
300,Skitty,normal,,50,45,45,35,35,50,3,0
301,Delcatty,normal,,70,65,65,55,55,90,3,0
302,Sableye,dark,ghost,50,85,125,85,115,20,3,0
303,Mawile,steel,fairy,50,105,125,55,95,50,3,0
304,Aron,steel,rock,50,70,100,40,40,30,3,0
305,Lairon,steel,rock,60,90,140,50,50,40,3,0
306,Aggron,steel,rock,70,140,230,60,80,50,3,0
307,Meditite,fighting,psychic,30,40,55,40,55,60,3,0
308,Medicham,fighting,psychic,60,100,85,80,85,100,3,0
309,Electrike,electric,,40,45,40,65,40,65,3,0
310,Manectric,electric,,70,75,80,135,80,135,3,0
311,Plusle,electric,,60,50,40,85,75,95,3,0
312,Minun,electric,,60,40,50,75,85,95,3,0
313,Volbeat,bug,,65,73,75,47,85,85,3,0
314,Illumise,bug,,65,47,75,73,85,85,3,0
315,Roselia,grass,poison,50,60,45,100,80,65,3,0
316,Gulpin,poison,,70,43,53,43,53,40,3,0
317,Swalot,poison,,100,73,83,73,83,55,3,0
318,Carvanha,water,dark,45,90,20,65,20,65,3,0
319,Sharpedo,water,dark,70,140,70,110,65,105,3,0
320,Wailmer,water,,130,70,35,70,35,60,3,0
321,Wailord,water,,170,90,45,90,45,60,3,0
322,Numel,fire,ground,60,60,40,65,45,35,3,0
323,Camerupt,fire,ground,70,120,100,145,105,20,3,0
324,Torkoal,fire,,70,85,140,85,70,20,3,0
325,Spoink,psychic,,60,25,35,70,80,60,3,0
326,Grumpig,psychic,,80,45,65,90,110,80,3,0
327,Spinda,normal,,60,60,60,60,60,60,3,0
328,Trapinch,ground,,45,100,45,45,45,10,3,0
329,Vibrava,ground,dragon,50,70,50,50,50,70,3,0
330,Flygon,ground,dragon,80,100,80,80,80,100,3,0
331,Cacnea,grass,,50,85,40,85,40,35,3,0
332,Cacturne,grass,dark,70,115,60,115,60,55,3,0
333,Swablu,normal,flying,45,40,60,40,75,50,3,0
334,Altaria,dragon,flying,75,110,110,110,105,80,3,0
335,Zangoose,normal,,73,115,60,60,60,90,3,0
336,Seviper,poison,,73,100,60,100,60,65,3,0
337,Lunatone,rock,psychic,90,55,65,95,85,70,3,0
338,Solrock,rock,psychic,90,95,85,55,65,70,3,0
339,Barboach,water,ground,50,48,43,46,41,60,3,0
340,Whiscash,water,ground,110,78,73,76,71,60,3,0
341,Corphish,water,,43,80,65,50,35,35,3,0
342,Crawdaunt,water,dark,63,120,85,90,55,55,3,0
343,Baltoy,ground,psychic,40,40,55,40,70,55,3,0
344,Claydol,ground,psychic,60,70,105,70,120,75,3,0
345,Lileep,rock,grass,66,41,77,61,87,23,3,0
346,Cradily,rock,grass,86,81,97,81,107,43,3,0
347,Anorith,rock,bug,45,95,50,40,50,75,3,0
348,Armaldo,rock,bug,75,125,100,70,80,45,3,0
349,Feebas,water,,20,15,20,10,55,80,3,0
350,Milotic,water,,95,60,79,100,125,81,3,0
351,Castform,normal,,70,70,70,70,70,70,3,0
352,Kecleon,normal,,60,90,70,60,120,40,3,0
353,Shuppet,ghost,,44,75,35,63,33,45,3,0
354,Banette,ghost,,64,165,75,93,83,75,3,0
355,Duskull,ghost,,20,40,90,30,90,25,3,0
356,Dusclops,ghost,,40,70,130,60,130,25,3,0
357,Tropius,grass,flying,99,68,83,72,87,51,3,0
358,Chimecho,psychic,,75,50,80,95,90,65,3,0
359,Absol,dark,,65,150,60,115,60,115,3,0
360,Wynaut,psychic,,95,23,48,23,48,23,3,0
361,Snorunt,ice,,50,50,50,50,50,50,3,0
362,Glalie,ice,,80,120,80,120,80,100,3,0
363,Spheal,ice,water,70,40,50,55,50,25,3,0
364,Sealeo,ice,water,90,60,70,75,70,45,3,0
365,Walrein,ice,water,110,80,90,95,90,65,3,0
366,Clamperl,water,,35,64,85,74,55,32,3,0
367,Huntail,water,,55,104,105,94,75,52,3,0
368,Gorebyss,water,,55,84,105,114,75,52,3,0
369,Relicanth,water,rock,100,90,130,45,65,55,3,0
370,Luvdisc,water,,43,30,55,40,65,97,3,0
371,Bagon,dragon,,45,75,60,40,30,50,3,0
372,Shelgon,dragon,,65,95,100,60,50,50,3,0
373,Salamence,dragon,flying,95,145,130,120,90,120,3,0
374,Beldum,steel,psychic,40,55,80,35,60,30,3,0
375,Metang,steel,psychic,60,75,100,55,80,50,3,0
376,Metagross,steel,psychic,80,145,150,105,110,110,3,0
377,Regirock,rock,,80,100,200,50,100,50,3,1
378,Regice,ice,,80,50,100,100,200,50,3,1
379,Registeel,steel,,80,75,150,75,150,50,3,1
380,Latias,dragon,psychic,80,100,120,140,150,110,3,1
381,Latios,dragon,psychic,80,130,100,160,120,110,3,1
382,Kyogre,water,,100,150,90,180,160,90,3,1
383,Groudon,ground,,100,180,160,150,90,90,3,1
384,Rayquaza,dragon,flying,105,180,100,180,100,115,3,1
385,Jirachi,steel,psychic,100,100,100,100,100,100,3,1
386,Deoxys,psychic,,50,95,90,95,90,180,3,1
387,Turtwig,grass,,55,68,64,45,55,31,4,0
388,Grotle,grass,,75,89,85,55,65,36,4,0
389,Torterra,grass,ground,95,109,105,75,85,56,4,0
390,Chimchar,fire,,44,58,44,58,44,61,4,0
391,Monferno,fire,fighting,64,78,52,78,52,81,4,0
392,Infernape,fire,fighting,76,104,71,104,71,108,4,0
393,Piplup,water,,53,51,53,61,56,40,4,0
394,Prinplup,water,,64,66,68,81,76,50,4,0
395,Empoleon,water,steel,84,86,88,111,101,60,4,0
396,Starly,normal,flying,40,55,30,30,30,60,4,0
397,Staravia,normal,flying,55,75,50,40,40,80,4,0
398,Staraptor,normal,flying,85,120,70,50,60,100,4,0
399,Bidoof,normal,,59,45,40,35,40,31,4,0
400,Bibarel,normal,water,79,85,60,55,60,71,4,0
401,Kricketot,bug,,37,25,41,25,41,25,4,0
402,Kricketune,bug,,77,85,51,55,51,65,4,0
403,Shinx,electric,,45,65,34,40,34,45,4,0
404,Luxio,electric,,60,85,49,60,49,60,4,0
405,Luxray,electric,,80,120,79,95,79,70,4,0
406,Budew,grass,poison,40,30,35,50,70,55,4,0
407,Roserade,grass,poison,60,70,65,125,105,90,4,0
408,Cranidos,rock,,67,125,40,30,30,58,4,0
409,Rampardos,rock,,97,165,60,65,50,58,4,0
410,Shieldon,rock,steel,30,42,118,42,88,30,4,0
411,Bastiodon,rock,steel,60,52,168,47,138,30,4,0
412,Burmy,bug,,40,29,45,29,45,36,4,0
413,Wormadam,bug,grass,60,69,95,69,95,36,4,0
414,Mothim,bug,flying,70,94,50,94,50,66,4,0
415,Combee,bug,flying,30,30,42,30,42,70,4,0
416,Vespiquen,bug,flying,70,80,102,80,102,40,4,0
417,Pachirisu,electric,,60,45,70,45,90,95,4,0
418,Buizel,water,,55,65,35,60,30,85,4,0
419,Floatzel,water,,85,105,55,85,50,115,4,0
420,Cherubi,grass,,45,35,45,62,53,35,4,0
421,Cherrim,grass,,70,60,70,87,78,85,4,0
422,Shellos,water,,76,48,48,57,62,34,4,0
423,Gastrodon,water,ground,111,83,68,92,82,39,4,0
424,Ambipom,normal,,75,100,66,60,66,115,4,0
425,Drifloon,ghost,flying,90,50,34,60,44,70,4,0
426,Drifblim,ghost,flying,150,80,44,90,54,80,4,0
427,Buneary,normal,,55,66,44,44,56,85,4,0
428,Lopunny,normal,,65,136,94,54,96,135,4,0
429,Mismagius,ghost,,60,60,60,105,105,105,4,0
430,Honchkrow,dark,flying,100,125,52,105,52,71,4,0
431,Glameow,normal,,49,55,42,42,37,85,4,0
432,Purugly,normal,,71,82,64,64,59,112,4,0
433,Chingling,psychic,,45,30,50,65,50,45,4,0
434,Stunky,poison,dark,63,63,47,41,41,74,4,0
435,Skuntank,poison,dark,103,93,67,71,61,84,4,0
436,Bronzor,steel,psychic,57,24,86,24,86,23,4,0
437,Bronzong,steel,psychic,67,89,116,79,116,33,4,0
438,Bonsly,rock,,50,80,95,10,45,10,4,0
439,Mime Jr.,psychic,fairy,20,25,45,70,90,60,4,0
440,Happiny,normal,,100,5,5,15,65,30,4,0
441,Chatot,normal,flying,76,65,45,92,42,91,4,0
442,Spiritomb,ghost,dark,50,92,108,92,108,35,4,0
443,Gible,dragon,ground,58,70,45,40,45,42,4,0
444,Gabite,dragon,ground,68,90,65,50,55,82,4,0
445,Garchomp,dragon,ground,108,170,115,120,95,92,4,0
446,Munchlax,normal,,135,85,40,40,85,5,4,0
447,Riolu,fighting,,40,70,40,35,40,60,4,0
448,Lucario,fighting,steel,70,145,88,140,70,112,4,0
449,Hippopotas,ground,,68,72,78,38,42,32,4,0
450,Hippowdon,ground,,108,112,118,68,72,47,4,0
451,Skorupi,poison,bug,40,50,90,30,55,65,4,0
452,Drapion,poison,dark,70,90,110,60,75,95,4,0
453,Croagunk,poison,fighting,48,61,40,61,40,50,4,0
454,Toxicroak,poison,fighting,83,106,65,86,65,85,4,0
455,Carnivine,grass,,74,100,72,90,72,46,4,0
456,Finneon,water,,49,49,56,49,61,66,4,0
457,Lumineon,water,,69,69,76,69,86,91,4,0
458,Mantyke,water,flying,45,20,50,60,120,50,4,0
459,Snover,grass,ice,60,62,50,62,60,40,4,0
460,Abomasnow,grass,ice,90,132,105,132,105,30,4,0
461,Weavile,dark,ice,70,120,65,45,85,125,4,0
462,Magnezone,electric,steel,70,70,115,130,90,60,4,0
463,Lickilicky,normal,,110,85,95,80,95,50,4,0
464,Rhyperior,ground,rock,115,140,130,55,55,40,4,0
465,Tangrowth,grass,,100,100,125,110,50,50,4,0
466,Electivire,electric,,75,123,67,95,85,95,4,0
467,Magmortar,fire,,75,95,67,125,95,83,4,0
468,Togekiss,fairy,flying,85,50,95,120,115,80,4,0
469,Yanmega,bug,flying,86,76,86,116,56,95,4,0
470,Leafeon,grass,,65,110,130,60,65,95,4,0
471,Glaceon,ice,,65,60,110,130,95,65,4,0
472,Gliscor,ground,flying,75,95,125,45,75,95,4,0
473,Mamoswine,ice,ground,110,130,80,70,60,80,4,0
474,Porygon-Z,normal,,85,80,70,135,75,90,4,0
475,Gallade,psychic,fighting,68,165,95,65,115,110,4,0
476,Probopass,rock,steel,60,55,145,75,150,40,4,0
477,Dusknoir,ghost,,45,100,135,65,135,45,4,0
478,Froslass,ice,ghost,70,80,70,80,70,110,4,0
479,Rotom,electric,ghost,50,65,107,105,107,86,4,0
480,Uxie,psychic,,75,75,130,75,130,95,4,1
481,Mesprit,psychic,,80,105,105,105,105,80,4,1
482,Azelf,psychic,,75,125,70,125,70,115,4,1
483,Dialga,steel,dragon,100,120,120,150,100,90,4,1
