height,length,width,driveline,engine,gears,transmission,cty,fuel_type,hwy,id,make,model_year,year,hp,torque,model,km_per_l_cty,km_per_l_hwy
172,63,87,Front-wheel drive,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,6,Automatic,20,Gasoline,29,2012 Acura TL,Acura,2012 Acura TL,2012,280,254,Acura TL,7.048458149779735,10.220264317180618
172,63,87,All-wheel drive,Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs,6,Automatic,18,Gasoline,26,2012 Acura TL SH-AWD,Acura,2012 Acura TL,2012,305,273,Acura TL,6.343612334801763,9.162995594713657
226,243,201,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,6,Automatic,12,Gasoline,17,2010 BMW X5 M SUV,BMW,2010 BMW X5,2010,555,500,BMW X5,4.229074889867842,5.991189427312776
226,243,201,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,6,Automatic,12,Gasoline,17,2011 BMW X5 M SUV,BMW,2011 BMW X5,2011,555,500,BMW X5,4.229074889867842,5.991189427312776
148,12,191,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,6,Automatic,12,Gasoline,17,2010 BMW X6 M,BMW,2010 BMW X6,2010,555,500,BMW X6,4.229074889867842,5.991189427312776
148,12,191,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,6,Automatic,12,Gasoline,17,2011 BMW X6 M,BMW,2011 BMW X6,2011,555,500,BMW X6,4.229074889867842,5.991189427312776
112,22,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,5,Manual,18,Gasoline,25,2012 Chevrolet Colorado Work Truck,Chevrolet,2012 Chevrolet Colorado,2012,185,190,Chevrolet Colorado,6.343612334801763,8.810572687224669
112,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,5,Manual,18,Gasoline,25,2012 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,2012 Chevrolet Colorado,2012,185,190,Chevrolet Colorado,6.343612334801763,8.810572687224669
120,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,4,Automatic,18,Gasoline,25,2012 Chevrolet Colorado Crew Cab 1LT,Chevrolet,2012 Chevrolet Colorado,2012,185,190,Chevrolet Colorado,6.343612334801763,8.810572687224669
112,22,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,5,Manual,18,Gasoline,25,2011 Chevrolet Colorado Work Truck,Chevrolet,2011 Chevrolet Colorado,2011,185,190,Chevrolet Colorado,6.343612334801763,8.810572687224669
112,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,5,Manual,18,Gasoline,25,2011 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,2011 Chevrolet Colorado,2011,185,190,Chevrolet Colorado,6.343612334801763,8.810572687224669
120,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,4,Automatic,18,Gasoline,25,2011 Chevrolet Colorado Crew Cab 1LT,Chevrolet,2011 Chevrolet Colorado,2011,185,190,Chevrolet Colorado,6.343612334801763,8.810572687224669
112,22,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,5,Manual,18,Gasoline,25,2010 Chevrolet Colorado Work Truck,Chevrolet,2010 Chevrolet Colorado,2010,185,190,Chevrolet Colorado,6.343612334801763,8.810572687224669
112,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,5,Manual,20,Gasoline,26,2010 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,2010 Chevrolet Colorado,2010,185,190,Chevrolet Colorado,7.048458149779735,9.162995594713657
120,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,4,Automatic,18,Gasoline,25,2010 Chevrolet Colorado Crew Cab LT1,Chevrolet,2010 Chevrolet Colorado,2010,185,190,Chevrolet Colorado,6.343612334801763,8.810572687224669
77,60,219,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,4,Automatic,13,Gasoline,18,2012 Chevrolet Express LS 1500,Chevrolet,2012 Chevrolet Express,2012,310,334,Chevrolet Express,4.581497797356828,6.343612334801763
77,60,219,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,4,Automatic,9,E85,12,2012 Chevrolet Express LS 1500 AWD,Chevrolet,2012 Chevrolet Express,2012,310,334,Chevrolet Express,3.1718061674008813,4.229074889867842
77,60,219,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,4,Automatic,13,Gasoline,17,2011 Chevrolet Express LS 1500,Chevrolet,2011 Chevrolet Express,2011,310,334,Chevrolet Express,4.581497797356828,5.991189427312776
77,60,219,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,4,Automatic,13,Gasoline,17,2011 Chevrolet Express LS 1500 AWD,Chevrolet,2011 Chevrolet Express,2011,310,334,Chevrolet Express,4.581497797356828,5.991189427312776
22,60,219,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 280 hp 295 ft-lbs FFV,6,Automatic,8,E85,12,2011 Chevrolet Express LS 2500,Chevrolet,2011 Chevrolet Express,2011,280,295,Chevrolet Express,2.8193832599118944,4.229074889867842
22,60,219,Rear-wheel drive,Chevrolet 6.0L 8 Cylinder 324 hp 373 ft-lbs FFV,6,Automatic,8,E85,12,2011 Chevrolet Express LS 2500 6.0L,Chevrolet,2011 Chevrolet Express,2011,324,373,Chevrolet Express,2.8193832599118944,4.229074889867842
24,60,224,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,4,Automatic,10,E85,13,2010 Chevrolet Express LS 1500,Chevrolet,2010 Chevrolet Express,2010,310,334,Chevrolet Express,3.5242290748898677,4.581497797356828
24,60,224,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,4,Automatic,13,Gasoline,17,2010 Chevrolet Express LS 1500 AWD,Chevrolet,2010 Chevrolet Express,2010,310,334,Chevrolet Express,4.581497797356828,5.991189427312776
77,102,237,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,4,Automatic,15,Gasoline,20,2011 Chevrolet Silverado 1500 Work Truck,Chevrolet,2011 Chevrolet Silverado 1500,2011,195,260,Chevrolet Silverado 1500,5.286343612334802,7.048458149779735
82,215,240,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,4,Automatic,14,Gasoline,19,2011 Chevrolet Silverado 1500 Crew Cab Work Truck,Chevrolet,2011 Chevrolet Silverado 1500,2011,302,305,Chevrolet Silverado 1500,4.933920704845815,6.696035242290749
85,215,237,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,4,Automatic,15,Gasoline,20,2011 Chevrolet Silverado 1500 Extended Cab Work Truck,Chevrolet,2011 Chevrolet Silverado 1500,2011,195,260,Chevrolet Silverado 1500,5.286343612334802,7.048458149779735
85,215,237,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,4,Automatic,15,Gasoline,20,2010 Chevrolet Silverado 1500 Extended Cab Work Truck,Chevrolet,2010 Chevrolet Silverado 1500,2010,195,260,Chevrolet Silverado 1500,5.286343612334802,7.048458149779735
77,102,237,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,4,Automatic,15,Gasoline,20,2010 Chevrolet Silverado 1500 Work Truck,Chevrolet,2010 Chevrolet Silverado 1500,2010,195,260,Chevrolet Silverado 1500,5.286343612334802,7.048458149779735
82,215,240,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,4,Automatic,14,Gasoline,19,2010 Chevrolet Silverado 1500 Crew Cab Work Truck,Chevrolet,2010 Chevrolet Silverado 1500,2010,302,305,Chevrolet Silverado 1500,4.933920704845815,6.696035242290749
43,52,52,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,6,Manual,18,Gasoline,26,2011 Nissan 370Z NISMO,Nissan,2011 Nissan 370Z Coupe,2011,350,276,Nissan 370Z Coupe,6.343612334801763,9.162995594713657
35,75,52,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,6,Manual,18,Gasoline,26,2010 Nissan 370Z NISMO,Nissan,2010 Nissan 370Z Coupe,2010,350,276,Nissan 370Z Coupe,6.343612334801763,9.162995594713657
35,75,52,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,6,Manual,18,Gasoline,26,2009 Nissan 370Z NISMO,Nissan,2009 Nissan 370Z Coupe,2009,350,276,Nissan 370Z Coupe,6.343612334801763,9.162995594713657
167,168,247,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,6,Manual,21,Gasoline,29,2011 Volvo C30 T5,Volvo,2011 Volvo C30,2011,227,236,Volvo C30,7.400881057268723,10.220264317180618
167,168,247,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5,Automatic,21,Gasoline,30,2011 Volvo C30 T5 AT,Volvo,2011 Volvo C30,2011,227,236,Volvo C30,7.400881057268723,10.572687224669604
167,155,247,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5,Automatic,21,Gasoline,30,2010 Volvo C30 T5 AT,Volvo,2010 Volvo C30,2010,227,236,Volvo C30,7.400881057268723,10.572687224669604
167,155,247,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,6,Manual,21,Gasoline,29,2010 Volvo C30 T5,Volvo,2010 Volvo C30,2010,227,236,Volvo C30,7.400881057268723,10.220264317180618
193,34,107,Rear-wheel drive,Bentley 6.8L 8 cylinder 530hp 774 ft-lbs Turbo,6,Automatic,9,Gasoline,15,2010 Bentley Brooklands,Bentley,2010 Bentley Brooklands,2010,530,774,Bentley Brooklands,3.1718061674008813,5.286343612334802
99,195,153,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,6,Automatic,8,E85,14,2012 Bentley Continental Supersports Convertible,Bentley,2012 Bentley Continental Supersports Convertible,2012,621,590,Bentley Continental Supersports Convertible,2.8193832599118944,4.933920704845815
110,199,153,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,6,Automatic,8,E85,14,2012 Bentley Continental Supersports Coupe,Bentley,2012 Bentley Continental Supersports Coupe,2012,621,590,Bentley Continental Supersports Coupe,2.8193832599118944,4.933920704845815
99,195,153,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,6,Automatic,8,E85,14,2011 Bentley Continental Supersports Convertible,Bentley,2011 Bentley Continental Supersports Convertible,2011,621,590,Bentley Continental Supersports Convertible,2.8193832599118944,4.933920704845815
99,195,153,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,6,Automatic,12,Gasoline,19,2010 Bentley Continental Supersports,Bentley,2010 Bentley Continental Supersports,2010,621,590,Bentley Continental Supersports,4.229074889867842,6.696035242290749
118,170,184,All-wheel drive,Bentley 6.0L 12 Cylinder 552 hp 479 ft-lbs FFV Turbo,6,Automatic,8,E85,13,2012 Bentley Continental Flying Spur,Bentley,2012 Bentley Continental Flying Spur,2012,552,479,Bentley Continental Flying Spur,2.8193832599118944,4.581497797356828
108,170,184,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,6,Automatic,11,Gasoline,19,2012 Bentley Continental Flying Spur Speed,Bentley,2012 Bentley Continental Flying Spur,2012,600,553,Bentley Continental Flying Spur,3.876651982378855,6.696035242290749
185,170,184,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,6,Automatic,10,Gasoline,17,2011 Bentley Continental Flying Spur Speed,Bentley,2011 Bentley Continental Flying Spur,2011,600,553,Bentley Continental Flying Spur,3.5242290748898677,5.991189427312776
185,170,184,All-wheel drive,Bentley 6.0L 12 cylinder 600hp 553 ft-lbs Turbo,6,Automatic,10,Gasoline,17,2010 Bentley Continental Flying Spur Speed,Bentley,2010 Bentley Continental Flying Spur,2010,600,553,Bentley Continental Flying Spur,3.5242290748898677,5.991189427312776
195,170,184,All-wheel drive,Bentley 6.0L 12 cylinder 552 hp 479 ft-lbs Turbo,6,Automatic,10,Gasoline,17,2010 Bentley Continental Flying Spur,Bentley,2010 Bentley Continental Flying Spur,2010,552,479,Bentley Continental Flying Spur,3.5242290748898677,5.991189427312776
120,7,44,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5,Automatic,19,Gasoline,28,2011 Volvo C70 T5,Volvo,2011 Volvo C70,2011,227,236,Volvo C70,6.696035242290749,9.86784140969163
119,230,44,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,6,Manual,20,Gasoline,28,2010 Volvo C70 T5,Volvo,2010 Volvo C70,2010,227,236,Volvo C70,7.048458149779735,9.86784140969163
119,230,44,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5,Automatic,19,Gasoline,28,2010 Volvo C70 T5 AT,Volvo,2010 Volvo C70,2010,227,236,Volvo C70,6.696035242290749,9.86784140969163
172,123,234,Front-wheel drive,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,5,Manual,21,Gasoline,29,2010 Volvo S40 2.4i,Volvo,2010 Volvo S40,2010,168,170,Volvo S40,7.400881057268723,10.220264317180618
172,123,234,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5,Automatic,21,Gasoline,30,2010 Volvo S40 R-Design,Volvo,2010 Volvo S40,2010,227,236,Volvo S40,7.400881057268723,10.572687224669604
172,123,234,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5,Automatic,21,Gasoline,30,2011 Volvo S40 T5,Volvo,2011 Volvo S40,2011,227,236,Volvo S40,7.400881057268723,10.572687224669604
190,123,234,All-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,6,Manual,20,Gasoline,27,2010 Volvo S40 R-Design AWD,Volvo,2010 Volvo S40,2010,227,236,Volvo S40,7.048458149779735,9.515418502202644
203,19,72,Front-wheel drive,Volvo 2.5L 5 Cylinder 250 hp 266 ft-lbs Turbo,6,Automatic,20,Gasoline,30,2012 Volvo S60 T5,Volvo,2012 Volvo S60,2012,250,266,Volvo S60,7.048458149779735,10.572687224669604
203,19,72,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,6,Automatic,18,Gasoline,26,2012 Volvo S60 T6 AWD,Volvo,2012 Volvo S60,2012,300,325,Volvo S60,6.343612334801763,9.162995594713657
203,19,72,All-wheel drive,Volvo 3.0 L 6 Cylinder 325 HP 354 ft-lbs Turbo,6,Automatic,18,Gasoline,26,2012 Volvo S60 R-Design,Volvo,2012 Volvo S60,2012,325,354,Volvo S60,6.343612334801763,9.162995594713657
203,14,72,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,6,Automatic,18,Gasoline,26,2011 Volvo S60 T6 AWD,Volvo,2011 Volvo S60,2011,300,325,Volvo S60,6.343612334801763,9.162995594713657
213,243,69,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,6,Automatic,19,Gasoline,27,2011 Volvo S80 3.2,Volvo,2011 Volvo S80,2011,240,236,Volvo S80,6.696035242290749,9.515418502202644
213,243,69,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,6,Automatic,15,Gasoline,22,2010 Volvo S80 V8,Volvo,2010 Volvo S80,2010,311,325,Volvo S80,5.286343612334802,7.75330396475771
213,243,69,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,6,Automatic,16,Gasoline,24,2010 Volvo S80 T6 AWD,Volvo,2010 Volvo S80,2010,281,295,Volvo S80,5.638766519823789,8.458149779735685
213,243,69,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,6,Automatic,18,Gasoline,27,2010 Volvo S80 3.2,Volvo,2010 Volvo S80,2010,235,236,Volvo S80,6.343612334801763,9.515418502202644
177,169,234,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5,Automatic,21,Gasoline,30,2011 Volvo V50 T5,Volvo,2011 Volvo V50,2011,227,236,Volvo V50,7.400881057268723,10.572687224669604
193,169,234,All-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,6,Manual,20,Gasoline,26,2010 Volvo V50 R-Design,Volvo,2010 Volvo V50,2010,227,236,Volvo V50,7.048458149779735,9.162995594713657
177,169,234,Front-wheel drive,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,5,Automatic,20,Gasoline,31,2010 Volvo V50 2.4i,Volvo,2010 Volvo V50,2010,168,170,Volvo V50,7.048458149779735,10.92511013215859
175,19,97,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,6,Automatic,17,Gasoline,22,2011 Volvo XC60 T6 AWD,Volvo,2011 Volvo XC60,2011,300,325,Volvo XC60,5.991189427312776,7.75330396475771
175,19,97,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,6,Automatic,18,Gasoline,25,2011 Volvo XC60 3.2,Volvo,2011 Volvo XC60,2011,240,236,Volvo XC60,6.343612334801763,8.810572687224669
175,19,97,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,6,Automatic,16,Gasoline,21,2010 Volvo XC60 T6 AWD,Volvo,2010 Volvo XC60,2010,281,295,Volvo XC60,5.638766519823789,7.400881057268723
175,19,97,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,6,Automatic,18,Gasoline,27,2010 Volvo XC60 3.2,Volvo,2010 Volvo XC60,2010,235,236,Volvo XC60,6.343612334801763,9.515418502202644
66,230,69,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,6,Automatic,18,Gasoline,25,2011 Volvo XC70 3.2,Volvo,2011 Volvo XC70,2011,240,236,Volvo XC70,6.343612334801763,8.810572687224669
66,230,69,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,6,Automatic,17,Gasoline,22,2011 Volvo XC70 T6 AWD,Volvo,2011 Volvo XC70,2011,300,325,Volvo XC70,5.991189427312776,7.75330396475771
66,230,69,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,6,Automatic,16,Gasoline,21,2010 Volvo XC70 T6 AWD,Volvo,2010 Volvo XC70,2010,281,295,Volvo XC70,5.638766519823789,7.400881057268723
66,230,69,All-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,6,Automatic,16,Gasoline,22,2010 Volvo XC70 3.2,Volvo,2010 Volvo XC70,2010,235,236,Volvo XC70,5.638766519823789,7.75330396475771
24,216,133,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,Automatic,17,Gasoline,23,2011 Toyota 4Runner SR5,Toyota,2011 Toyota 4Runner,2011,270,278,Toyota 4Runner,5.991189427312776,8.105726872246697
24,216,24,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,Automatic,17,Gasoline,22,2011 Toyota 4Runner SR5 4WD,Toyota,2011 Toyota 4Runner,2011,270,278,Toyota 4Runner,5.991189427312776,7.75330396475771
93,216,133,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,Automatic,17,Gasoline,22,2011 Toyota 4Runner Trail,Toyota,2011 Toyota 4Runner,2011,270,278,Toyota 4Runner,5.991189427312776,7.75330396475771
24,216,133,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,Automatic,17,Gasoline,23,2011 Toyota 4Runner Limited,Toyota,2011 Toyota 4Runner,2011,270,278,Toyota 4Runner,5.991189427312776,8.105726872246697
24,216,133,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,Automatic,17,Gasoline,22,2011 Toyota 4Runner  Limited 4WD,Toyota,2011 Toyota 4Runner,2011,270,278,Toyota 4Runner,5.991189427312776,7.75330396475771
247,200,105,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,6,Automatic,16,Gasoline,22,2011 Volvo XC90 3.2,Volvo,2011 Volvo XC90,2011,240,236,Volvo XC90,5.638766519823789,7.75330396475771
247,200,105,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,6,Automatic,14,Gasoline,21,2011 Volvo XC90 V8,Volvo,2011 Volvo XC90,2011,311,325,Volvo XC90,4.933920704845815,7.400881057268723
247,200,105,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,6,Automatic,15,Gasoline,22,2010 Volvo XC90 3.2,Volvo,2010 Volvo XC90,2010,235,236,Volvo XC90,5.286343612334802,7.75330396475771
247,200,105,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,6,Automatic,13,Gasoline,19,2010 Volvo XC90 V8,Volvo,2010 Volvo XC90,2010,311,325,Volvo XC90,4.581497797356828,6.696035242290749
10,215,69,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,6,Automatic,18,Gasoline,27,2010 Volvo V70 3.2,Volvo,2010 Volvo V70,2010,235,236,Volvo V70,6.343612334801763,9.515418502202644
24,216,133,Rear-wheel drive,Toyota 2.7L 4 Cylinder 157 hp 178 ft-lbs,4,Automatic,18,Gasoline,23,2010 Toyota 4Runner SR5,Toyota,2010 Toyota 4Runner,2010,157,178,Toyota 4Runner,6.343612334801763,8.105726872246697
24,216,133,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,Automatic,17,Gasoline,23,2010 Toyota 4Runner SR5 V6,Toyota,2010 Toyota 4Runner,2010,270,278,Toyota 4Runner,5.991189427312776,8.105726872246697
24,216,133,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,Automatic,17,Gasoline,22,2010 Toyota 4Runner SR5 V6 4WD,Toyota,2010 Toyota 4Runner,2010,270,278,Toyota 4Runner,5.991189427312776,7.75330396475771
93,216,133,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,Automatic,17,Gasoline,22,2010 Toyota 4Runner Trail,Toyota,2010 Toyota 4Runner,2010,270,278,Toyota 4Runner,5.991189427312776,7.75330396475771
24,216,133,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,Automatic,17,Gasoline,23,2010 Toyota 4Runner Limited,Toyota,2010 Toyota 4Runner,2010,270,278,Toyota 4Runner,5.991189427312776,8.105726872246697
24,216,133,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,Automatic,17,Gasoline,22,2010 Toyota 4Runner Limited 4WD,Toyota,2010 Toyota 4Runner,2010,270,278,Toyota 4Runner,5.991189427312776,7.75330396475771
143,196,203,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,6,Manual,21,Gasoline,30,2012 Audi A3 2.0 T,Audi,2012 Audi A3,2012,200,207,Audi A3,7.400881057268723,10.572687224669604
152,240,57,Front-wheel drive,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,6,Manual,17,Gasoline,25,2010 Honda Accord EX-L V-6 Coup,Honda,2010 Honda Accord Coupe,2010,271,251,Honda Accord Coupe,5.991189427312776,8.810572687224669
152,240,57,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5,Automatic,21,Gasoline,31,2010 Honda Accord EX Coup AT,Honda,2010 Honda Accord Coupe,2010,190,162,Honda Accord Coupe,7.400881057268723,10.92511013215859
152,240,57,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5,Manual,22,Gasoline,31,2010 Honda Accord EX-L Coup,Honda,2010 Honda Accord Coupe,2010,190,162,Honda Accord Coupe,7.75330396475771,10.92511013215859
